,predict
2036-06-01,451.07816638851045
2036-07-01,449.416043773671
2036-08-01,447.3193098949373
2036-09-01,445.929973779926
2036-10-01,446.1990438112174
2036-11-01,447.72445953867737
2036-12-01,449.13628763891694
2037-01-01,450.3261149606475
2037-02-01,451.0645674583794
2037-03-01,451.96065991294665
2037-04-01,453.472254477558
2037-05-01,454.06407478806386
2037-06-01,453.2988946382907
2037-07-01,451.63755860269725
2037-08-01,449.54181697768706
2037-09-01,448.15313834903935
2037-10-01,448.4220810462217
2037-11-01,449.94677488930193
2037-12-01,451.35793485912035
2038-01-01,452.54719910958926
2038-02-01,453.28530214368726
2038-03-01,454.1809705334346
2038-04-01,455.6918497543629
2038-05-01,456.28338999312825
2038-06-01,455.5185719555241
2038-07-01,453.8580221269377
2038-08-01,451.7632722860791
2038-09-01,450.37525083264757
2038-10-01,450.64406625598014
2038-11-01,452.16803855630366
2038-12-01,453.5785307118855
2039-01-01,454.7672321575594
2039-02-01,455.504985893403
2039-03-01,456.40023041901395
2039-04-01,457.9103946347869
2039-05-01,458.5016549343523
2039-06-01,457.73719883755206
2039-07-01,456.07743484390977
2039-08-01,453.98367631785294
2039-09-01,452.59631172863743
2039-10-01,452.864999938351
2039-11-01,454.38825103737906
2039-12-01,455.7980756947593
2040-01-01,456.98621460197876
2040-02-01,457.723619204869
2040-03-01,458.6184400669321
2040-04-01,460.1278896159171
2040-05-01,460.71887010876037
2040-06-01,459.95477578147995
2040-07-01,458.295797250895
2040-08-01,456.20302957051234
2040-09-01,454.8163215346599
2040-10-01,455.0848825909568
2040-11-01,456.6074128299892
2040-12-01,458.01657030505316
2041-01-01,459.2041469400326
2041-02-01,459.94120257519245
2041-03-01,460.83559997420133
2041-04-01,462.3443351946058
2041-05-01,462.935036013142
2041-06-01,462.17130328417835
2041-07-01,460.51310984493995
2041-08-01,458.4213325413258
2041-09-01,457.0352807481305
2041-10-01,457.3037147111845
2041-11-01,458.8255244313594
2041-12-01,460.234015039843
2042-01-01,461.4210296686709
2042-02-01,462.157736501245
2042-03-01,463.0517106375983
2042-04-01,464.5597318674695
2042-05-01,465.15015314405116
2042-06-01,464.38678184228235
2042-07-01,462.7293731228556
2042-08-01,460.63858572732624
2042-09-01,459.2531898662293
2042-10-01,459.5214967961858
2042-11-01,461.04258633847985
2042-12-01,462.4504103959696
2043-01-01,463.63686328460847
2043-02-01,464.37322147966347
2043-03-01,465.26677255366513
2043-04-01,466.77408013089035
2043-05-01,467.36422199780725
2043-06-01,466.6012119521923
2043-07-01,464.94458758121806
2043-08-01,462.8547896253116
2043-09-01,461.4700493859011
2043-10-01,461.73822934287693
2043-11-01,463.2585990481057
2043-12-01,464.66575687003865
2044-01-01,465.8516482843252
2044-02-01,466.58765800684955
2044-03-01,467.48078621870866
2044-04-01,468.9873804810153
2044-05-01,469.57724307049466
2044-06-01,468.8145941100734
2044-07-01,467.15875371636844
2044-08-01,465.0699447318446
2044-09-01,463.6858598038557
2044-10-01,463.9539128479392
2044-11-01,465.4735630567567
2044-12-01,466.8800549584207
2045-01-01,468.0653851640659
2045-02-01,468.80104657896993
2045-03-01,469.69375212880084
2045-04-01,471.1996334137565
2045-05-01,471.78921685796297
2045-06-01,471.0269288118563
2045-07-01,469.3718720244129
2045-08-01,467.2840515432531
2045-09-01,465.9006216165676
2045-10-01,466.1685478078188
2045-11-01,467.68747886071793
2045-12-01,469.09330515725173
2046-01-01,470.27807441984066
2046-02-01,471.0133876919567
2046-03-01,471.9056707797791
2046-04-01,473.41083942479156
2046-05-01,474.0001438558273
2046-06-01,473.2382165532369
2046-07-01,471.58394300122296
2046-08-01,469.49711055563006
2046-09-01,468.11433532027655
2046-10-01,468.382134718727
2046-11-01,469.9003469560395
2046-12-01,471.30550796243256
2047-01-01,472.4897165474246
2047-02-01,473.224681841507
2047-03-01,474.1165426672458
2047-04-01,475.6209990095633
2047-05-01,476.2100245594678
2047-06-01,475.4484578296762
2047-07-01,473.7949671424351
2047-08-01,471.70912226483324
2047-09-01,470.32700141098707
2047-10-01,470.59467407663993
2047-11-01,472.11216783853655
2047-12-01,473.5166638696292
2048-01-01,474.7003120423583
